연번,업종명,업소명,소재지도로명,소재지지번,업태명
203,휴게음식점,킴스,경상북도 경산시 중앙로 3-2 (사정동),경상북도 경산시 사정동 39-4 ,커피숍
204,휴게음식점,낭만아트,경상북도 경산시 경청로217길 7-2 (백천동),경상북도 경산시 백천동 584-15 ,커피숍
205,휴게음식점,슈뢰딩거(Schrodinger),경상북도 경산시 와촌면 불굴사길 2-6,경상북도 경산시 와촌면 신한리 506-6 ,커피숍
206,휴게음식점,더리터 신대부적점,"경상북도 경산시 압량읍 압독3로 30, 경산코아루상가동 102호",경상북도 경산시 압량읍 신대리 481 경산코아루상가동 102호,커피숍
207,휴게음식점,쉴만한 물가,경상북도 경산시 원효로 176 (사동),경상북도 경산시 사동 559-2 ,커피숍
208,휴게음식점,오호(OHO)커피,"경상북도 경산시 백자로 76, 104호 (사동)",경상북도 경산시 사동 36 104호,커피숍
209,휴게음식점,스크류미 케이쿠키(SCRUMMY CAKOOKIE),경상북도 경산시 하양읍 대학로305길 33,경상북도 경산시 하양읍 금락리 116-172 ,커피숍
210,휴게음식점,엘린,"경상북도 경산시 원효로40길 64, 1층 (사동)",경상북도 경산시 사동 607-3 1층 ,커피숍
211,휴게음식점,카페(cafe) 백서향,경상북도 경산시 대학로12길 21-2 (정평동),경상북도 경산시 정평동 230-13 ,커피숍
212,휴게음식점,카페테라스&꼬마김밥,경상북도 경산시 진량읍 일연로 745-20,경상북도 경산시 진량읍 선화리 481 ,커피숍
213,휴게음식점,까사델제주,"경상북도 경산시 원효로40길 23-7, 1층 (사동)",경상북도 경산시 사동 580-13 1층 ,커피숍
214,휴게음식점,베러먼데이 경산자인점,경상북도 경산시 자인면 북사로 27,경상북도 경산시 자인면 북사리 81-12 ,커피숍
215,휴게음식점,핸썸커피 중산점,"경상북도 경산시 펜타힐즈2로 57, 펜타힐즈SM타워 114호 (중산동)",경상북도 경산시 중산동 635-1 펜타힐즈SM타워 114호,커피숍
216,휴게음식점,스타벅스 경산임당역DT점,"경상북도 경산시 대학로 208, 1,2층 (계양동)","경상북도 경산시 계양동 266 1,2층 ",커피숍
217,휴게음식점,파스마(PASMA),"경상북도 경산시 한의대로 96, 1, 2층 (점촌동)","경상북도 경산시 점촌동 80-14 1, 2층 ",커피숍
218,휴게음식점,카페봄봄 영남대점,"경상북도 경산시 대학로 291, 가동 101호 (대동)",경상북도 경산시 대동 168-1 가동 101호,커피숍
219,휴게음식점,세이버커피(SAVOUR COFFEE),"경상북도 경산시 강변동로 164, 2층 (중방동)",경상북도 경산시 중방동 320 2층 ,커피숍
220,휴게음식점,마실커피 신대부적점,경상북도 경산시 압량읍 압독2로1길 20-15,경상북도 경산시 압량읍 신대리 413-1 ,커피숍
221,휴게음식점,천씨씨커피 백천점,"경상북도 경산시 경청로 1105, 금강빌딩 102호 (백천동)",경상북도 경산시 백천동 574-5 금강빌딩 102호,커피숍
222,휴게음식점,공차 경산중산신도시점,"경상북도 경산시 펜타힐즈2로 57, 펜타힐즈SM타워 106호, 107호 (중산동)","경상북도 경산시 중산동 635-1 펜타힐즈SM타워 106호, 107호 ",커피숍
223,휴게음식점,청춘별빛카페,"경상북도 경산시 하양읍 문화로 20-2, 2,3층",경상북도 경산시 하양읍 금락리 127-2 ,커피숍
224,휴게음식점,두낫디스터브 반곡지,"경상북도 경산시 남산면 반지길 190, 1,2층","경상북도 경산시 남산면 반곡리 250 1,2층 ",커피숍
225,휴게음식점,소소베이지,경상북도 경산시 성암로13길 26 (옥산동),경상북도 경산시 옥산동 825-13 ,커피숍
226,휴게음식점,라보리(Laborie),"경상북도 경산시 성동로 20, 104호 (정평동)",경상북도 경산시 정평동 183 104호,커피숍
227,휴게음식점,이디야 경산하양금락점,경상북도 경산시 하양읍 대학로295길 14,경상북도 경산시 하양읍 금락리 405-3 ,커피숍
228,휴게음식점,고운님오시는길,"경상북도 경산시 와촌면 갓바위로 62, 주1동",경상북도 경산시 와촌면 대한리 68-1 주1동 ,커피숍
229,휴게음식점,봄봄 상방점,경상북도 경산시 남매로2길 1 (상방동),경상북도 경산시 상방동 199-3 ,커피숍
230,휴게음식점,핸즈커피 하양점,<REPLACE>,경상북도 경산시 하양읍 동서리 878-1 ,커피숍
231,휴게음식점,읍천리382 대가대점,"경상북도 경산시 하양읍 하양로 34, 가동 103호",경상북도 경산시 하양읍 금락리 116-268 가동 103호,커피숍
232,휴게음식점,카페 5110,"경상북도 경산시 자인면 자인로 192, C동 1층",경상북도 경산시 자인면 서부리 254-2 1층 C동 ,커피숍
233,휴게음식점,더리터 경산옥곡점,"경상북도 경산시 경산로15길 1-5, 청탑하이츠 1층 (옥곡동)",경상북도 경산시 옥곡동 815-3 청탑하이츠 1층 ,커피숍
234,휴게음식점,와락,경상북도 경산시 대동안길 14-4 (대동),경상북도 경산시 대동 143-9 ,커피숍
235,휴게음식점,카페산57,"경상북도 경산시 삼성현로 164-2, 2층 (옥산동)",경상북도 경산시 옥산동 323-27 2층 ,커피숍
236,휴게음식점,레젤(Les Ailes),"경상북도 경산시 박물관로 17, 세경빌딩 103-1호 (사동)",경상북도 경산시 사동 637-3 세경빌딩 103-1호,커피숍
